Time (Uganda),Battery,Humidity,Motion,Temperature
2025-10-04 22:34:28,3.073,70.5,2153,25.4
2025-10-04 22:36:28,3.072,70.6,2169,25.41
2025-10-04 22:38:48,3.072,70.9,2180,25.41
2025-10-04 22:40:52,3.072,70.8,2193,25.42
2025-10-04 22:43:01,3.073,71,2203,25.42
2025-10-04 22:43:20,3.072,71.1,2203,25.41
2025-10-04 22:45:06,3.074,70.9,2205,25.45
2025-10-04 22:47:47,3.073,71.8,2217,25.44
2025-10-04 22:49:51,3.072,71.5,2239,25.45
2025-10-04 22:51:52,3.075,71.3,2256,25.45
2025-10-04 22:53:19,3.073,71.3,2271,25.45
2025-10-04 22:57:08,3.073,71.7,2282,25.45
2025-10-04 22:59:37,3.073,71.9,2284,25.47
2025-10-04 23:03:02,3.073,71.6,2291,25.44
2025-10-04 23:03:19,3.073,71.6,2291,25.47
2025-10-04 23:07:03,3.073,71.3,2294,25.47
2025-10-04 23:13:19,3.072,70.9,2294,25.44
2025-10-04 23:13:29,3.073,70.9,2295,25.42
2025-10-04 23:21:17,3.072,71.1,2297,25.44
2025-10-04 23:23:19,3.074,70.9,2301,25.42
2025-10-04 23:33:19,3.072,71.4,2301,25.42
2025-10-04 23:40:45,3.073,71.2,2302,25.44
2025-10-04 23:43:19,3.073,71.5,2302,25.44
2025-10-04 23:53:18,3.073,71.3,2302,25.47
2025-10-05 00:03:18,3.074,71.4,2302,25.45
2025-10-05 00:13:18,3.074,71.7,2302,25.47
2025-10-05 00:23:18,3.073,71.9,2302,25.47
2025-10-05 00:33:18,3.073,72,2302,25.45
2025-10-05 00:35:10,3.073,72,2303,25.47
2025-10-05 00:43:18,3.073,71.7,2305,25.45
2025-10-05 00:53:17,3.074,71.9,2305,25.44
2025-10-05 01:03:17,3.073,71.8,2305,25.44
2025-10-05 01:11:05,3.074,71.8,2306,25.4
2025-10-05 01:13:17,3.075,71.8,2313,25.41
2025-10-05 01:13:52,3.074,71.8,2314,25.4
2025-10-05 01:16:02,3.074,71.8,2339,25.42
2025-10-05 01:23:17,3.074,72,2347,25.41
2025-10-05 01:33:17,3.073,71.9,2347,25.38
2025-10-05 01:43:16,3.074,72.5,2347,25.33
2025-10-05 01:53:16,3.075,72.9,2347,25.31
2025-10-05 02:03:16,3.074,72.3,2347,25.29
2025-10-05 02:13:16,3.073,72.2,2347,25.27
2025-10-05 02:23:16,3.073,72.2,2347,25.23
2025-10-05 02:33:16,3.073,71.9,2347,25.19
2025-10-05 02:43:15,3.074,71.7,2347,25.17
2025-10-05 02:53:15,3.075,71.5,2347,25.14
2025-10-05 03:03:15,3.075,71.4,2347,25.13
2025-10-05 03:13:15,3.073,71.4,2347,25.1
2025-10-05 03:23:15,3.073,71.4,2347,25.09
2025-10-05 03:33:15,3.073,71.4,2347,25.06
2025-10-05 03:43:14,3.073,71.5,2347,25.02
2025-10-05 03:48:57,3.073,71.5,2348,25.05
2025-10-05 03:53:14,3.074,71.7,2357,25.03
2025-10-05 04:03:14,3.075,71.9,2357,25.02
2025-10-05 04:13:14,3.073,71,2357,24.99
2025-10-05 04:23:14,3.074,71,2357,24.99
2025-10-05 04:33:13,3.073,71.2,2357,24.95
2025-10-05 04:43:13,3.073,70.1,2357,24.95
2025-10-05 04:53:13,3.074,69.7,2357,24.92
2025-10-05 05:03:13,3.075,69.6,2357,24.9
2025-10-05 05:04:19,3.075,69.6,2358,24.92
2025-10-05 05:13:13,3.075,69.4,2358,24.89
2025-10-05 05:23:13,3.074,69.4,2358,24.83
2025-10-05 05:33:12,3.075,69,2358,24.79
2025-10-05 05:43:12,3.075,69,2358,24.81
2025-10-05 05:52:51,3.075,69.1,2359,24.76
2025-10-05 05:53:12,3.075,69.1,2359,24.75
2025-10-05 06:03:12,3.073,69.1,2359,24.74
2025-10-05 06:13:12,3.075,69.4,2359,24.74
2025-10-05 06:16:16,3.073,69.4,2360,24.74
2025-10-05 06:23:12,3.076,69.6,2361,24.76
2025-10-05 06:33:11,3.076,69.6,2361,24.72
2025-10-05 06:43:11,3.076,69.7,2361,24.71
2025-10-05 06:53:11,3.074,69.8,2361,24.69
2025-10-05 07:03:11,3.074,70.3,2361,24.68
2025-10-05 07:05:56,3.074,70.4,2362,24.69
2025-10-05 07:13:11,3.074,70.3,2362,24.68
2025-10-05 07:20:28,3.073,70.4,2363,24.66
2025-10-05 07:22:57,3.074,70.8,2364,24.68
2025-10-05 07:23:11,3.075,70.8,2367,24.68
2025-10-05 07:28:20,3.074,70.7,2372,24.69
2025-10-05 07:33:10,3.074,70.8,2375,24.68
2025-10-05 07:40:48,3.076,70.8,2376,24.64
2025-10-05 07:43:10,3.076,70.8,2376,24.64
2025-10-05 07:43:44,3.073,70.7,2377,24.66
2025-10-05 07:49:07,3.073,70.9,2378,24.66
2025-10-05 07:51:22,3.075,71,2390,24.65
2025-10-05 07:53:10,3.074,70.9,2393,24.65
2025-10-05 07:53:30,3.075,70.9,2398,24.68
2025-10-05 07:55:31,3.073,70.9,2405,24.68
2025-10-05 07:57:31,3.073,71.1,2415,24.66
2025-10-05 08:03:10,3.076,71.3,2417,24.65
2025-10-05 08:05:19,3.075,71.3,2418,24.66
2025-10-05 08:10:39,3.074,71.4,2426,24.68
2025-10-05 08:12:51,3.074,71.5,2432,24.65
2025-10-05 08:13:10,3.073,71.5,2435,24.69
2025-10-05 08:15:51,3.074,71.6,2445,24.71
2025-10-05 08:17:51,3.074,71.4,2448,24.69
2025-10-05 08:19:57,3.073,71.5,2465,24.69
2025-10-05 08:22:03,3.072,71.3,2493,24.71
2025-10-05 08:23:10,3.074,71.1,2508,24.72
2025-10-05 08:24:05,3.075,71,2517,24.72
2025-10-05 08:26:46,3.076,70.7,2519,24.72
2025-10-05 08:29:06,3.074,70.7,2525,24.71
2025-10-05 08:33:09,3.072,70.7,2535,24.69
2025-10-05 08:43:09,3.074,70.8,2535,24.64
2025-10-05 08:45:47,3.074,70.7,2536,24.65
2025-10-05 08:48:19,3.075,70.8,2540,24.64
2025-10-05 08:53:09,3.074,71.3,2544,24.64
2025-10-05 08:57:54,3.075,71.5,2545,24.65
2025-10-05 09:01:00,3.074,71.6,2549,24.65
2025-10-05 09:03:09,3.075,71.8,2553,24.66
2025-10-05 09:13:09,3.074,72.1,2553,24.71
2025-10-05 09:13:16,3.073,72,2554,24.71
2025-10-05 09:15:15,3.074,71.9,2570,24.72
2025-10-05 09:17:17,3.073,71.7,2582,24.74
2025-10-05 09:19:38,3.074,71.5,2600,24.76
2025-10-05 09:23:08,3.074,70.7,2612,24.81
2025-10-05 09:27:09,3.074,71,2613,24.78
2025-10-05 09:29:20,3.074,71,2617,24.79
2025-10-05 09:31:28,3.075,70.9,2624,24.82
2025-10-05 09:33:08,3.073,71,2638,24.79
2025-10-05 09:36:40,3.074,71.3,2641,24.79
2025-10-05 11:23:06,3.074,72.6,2780,24.65
2025-10-05 11:25:35,3.075,72.5,2781,24.65
2025-10-05 11:28:18,3.073,72.3,2788,24.71
2025-10-05 11:31:50,3.074,72.4,2795,24.72
2025-10-05 11:33:06,3.074,72.7,2803,24.78
2025-10-05 11:34:28,3.073,72.7,2804,24.78
2025-10-05 11:37:39,3.074,73,2814,24.85
2025-10-05 11:43:06,3.075,73.3,2820,24.95
2025-10-05 11:53:06,3.072,72.3,2820,25.09
2025-10-05 12:01:21,3.074,71.3,2821,25.13
2025-10-05 12:03:06,3.074,71,2823,25.16
2025-10-05 12:13:05,3.075,70.7,2823,25.26
2025-10-05 12:23:05,3.074,71.5,2823,25.36
2025-10-05 12:33:05,3.074,70.1,2823,25.48
2025-10-05 12:43:05,3.073,70.6,2823,25.63
2025-10-05 12:52:57,3.073,69.2,2824,25.69
2025-10-05 12:53:05,3.074,69.3,2825,25.71
2025-10-05 12:55:02,3.073,69.7,2835,25.74
2025-10-05 12:57:07,3.074,70.2,2839,25.78
2025-10-05 13:03:05,3.074,70,2842,25.81
2025-10-05 13:13:04,3.076,70.2,2842,25.84
2025-10-05 13:16:14,3.074,70.1,2843,25.82
2025-10-05 13:19:05,3.073,70.6,2847,25.86
2025-10-05 13:23:04,3.075,70.7,2855,25.91
2025-10-05 13:26:10,3.075,70.3,2856,25.95
2025-10-05 13:28:12,3.075,70,2867,25.96
2025-10-05 13:30:30,3.074,70.1,2872,25.99
2025-10-05 13:32:33,3.074,70.1,2874,26
2025-10-05 13:33:04,3.072,70.2,2880,26
2025-10-05 13:36:34,3.075,70.2,2917,26
2025-10-05 13:38:36,3.074,69.7,2940,26
2025-10-05 13:40:42,3.074,69.5,2957,26
2025-10-05 13:43:04,3.074,69.4,2966,26.05
2025-10-05 13:44:01,3.074,69.6,2967,26.05
2025-10-05 13:47:06,3.074,69.6,2975,26.03
2025-10-05 13:49:15,3.075,69.9,2979,26.03
2025-10-05 13:51:30,3.075,70.2,2995,26.05
2025-10-05 13:53:04,3.073,70.1,2998,26.05
2025-10-05 13:53:41,3.075,69.5,3004,26.05
2025-10-05 13:56:51,3.074,69.6,3013,26.06
2025-10-05 14:11:35,3.074,67.9,3026,25.99
2025-10-05 14:13:03,3.074,68.2,3027,26.02
2025-10-05 14:15:32,3.075,68,3028,25.99
2025-10-05 14:17:34,3.073,67.9,3035,26
2025-10-05 14:21:53,3.073,69.1,3056,26.06
2025-10-05 14:23:03,3.073,68.8,3060,26.12
2025-10-05 14:24:03,3.075,68.9,3062,26.09
2025-10-05 14:26:39,3.073,68.8,3068,26.15
2025-10-05 14:33:03,3.075,67.6,3075,26.24
2025-10-05 14:33:22,3.073,67.7,3076,26.23
2025-10-05 14:35:56,3.075,67.3,3095,26.26
2025-10-05 14:43:03,3.074,66.7,3101,26.2
2025-10-05 14:47:46,3.074,67.2,3102,26.13
2025-10-05 14:50:10,3.074,67.4,3104,26.11
2025-10-05 14:52:46,3.074,70.1,3107,26.11
2025-10-05 14:53:03,3.075,70.4,3108,26.07
2025-10-05 14:55:52,3.073,69.4,3119,26.07
2025-10-05 15:00:49,3.075,69,3123,26.09
2025-10-05 15:02:56,3.075,69.2,3124,26.07
2025-10-05 15:03:03,3.075,69.3,3125,26.07
2025-10-05 15:05:26,3.073,69.3,3126,26.07
2025-10-05 15:13:02,3.074,69.7,3132,26.09
2025-10-05 15:18:19,3.074,69.8,3133,26.09
2025-10-05 15:20:23,3.075,70.2,3135,26.06
2025-10-05 15:22:26,3.073,70.8,3148,26.05
2025-10-05 15:23:02,3.074,70.7,3153,26.09
2025-10-05 15:56:21,3.075,67.1,3323,25.72
2025-10-05 15:58:39,3.075,67.2,3336,25.57
2025-10-05 16:00:42,3.075,66.6,3344,25.47
2025-10-05 16:03:01,3.074,63.8,3354,25.33
2025-10-05 16:03:32,3.075,63.7,3355,25.31
2025-10-05 16:05:56,3.075,64,3357,25.17
2025-10-05 16:08:01,3.075,64.3,3375,25.1
2025-10-05 16:10:11,3.074,65.6,3392,25
2025-10-05 16:12:31,3.075,67.2,3398,24.9
2025-10-05 16:13:01,3.074,67.5,3399,24.87
2025-10-05 16:15:52,3.075,69.5,3406,24.81
2025-10-05 16:18:11,3.074,69.9,3413,24.82
2025-10-05 16:20:23,3.076,70,3429,24.89
2025-10-05 16:22:26,3.074,70.5,3454,24.89
2025-10-05 16:23:01,3.074,70.1,3462,24.89
2025-10-05 16:24:27,3.074,70.1,3472,24.81
2025-10-05 16:26:28,3.074,70.2,3493,24.74
2025-10-05 16:28:37,3.075,70.8,3501,24.72
2025-10-05 16:30:54,3.075,70.3,3514,24.71
2025-10-05 16:33:01,3.075,70.7,3519,24.76
2025-10-05 16:33:20,3.075,70.8,3520,24.75
2025-10-05 16:35:45,3.075,71.1,3521,24.78
2025-10-05 16:37:45,3.074,71.4,3531,24.82
2025-10-05 16:39:46,3.073,72,3555,24.85
2025-10-05 16:41:50,3.075,72.2,3567,24.9
2025-10-05 16:43:01,3.075,72,3568,24.9
2025-10-05 16:44:39,3.075,72.1,3573,24.92
2025-10-05 16:47:06,3.074,72,3585,24.95
2025-10-05 16:51:17,3.074,72.1,3590,24.96
2025-10-05 16:53:01,3.075,72.1,3595,24.93
2025-10-05 17:03:00,3.075,72,3595,24.96
2025-10-05 17:13:00,3.075,71.8,3595,24.99
2025-10-05 17:23:00,3.074,71.3,3595,24.97
2025-10-05 17:33:00,3.074,70.8,3595,24.96
2025-10-05 17:43:00,3.076,71.4,3595,24.96
2025-10-05 17:53:00,3.074,71.5,3595,24.96
2025-10-05 18:02:59,3.075,71.2,3595,24.86
2025-10-05 18:12:59,3.074,71.5,3595,24.87
2025-10-05 18:22:59,3.076,71,3595,24.86
2025-10-05 18:32:59,3.075,70.6,3595,24.82
2025-10-05 18:42:59,3.074,70.4,3595,24.81
2025-10-05 18:52:59,3.075,70.3,3595,24.76
2025-10-05 19:02:58,3.073,70.2,3595,24.72
2025-10-05 19:12:58,3.074,69.6,3595,24.71
2025-10-05 19:22:58,3.075,70.3,3595,24.69
2025-10-05 19:32:58,3.076,70.1,3595,24.65
2025-10-05 19:42:58,3.074,70.7,3595,24.65
2025-10-05 19:45:56,3.076,70.8,3596,24.64
2025-10-05 19:48:02,3.074,70.7,3610,24.61
2025-10-05 19:50:04,3.075,71.2,3624,24.61
2025-10-05 19:52:04,3.075,71.4,3652,24.59
2025-10-05 19:52:57,3.077,71.5,3661,24.62
2025-10-05 19:54:05,3.073,71.6,3669,24.61
2025-10-05 19:56:11,3.075,71.7,3695,24.65
2025-10-05 19:58:12,3.074,71.8,3702,24.66
2025-10-05 20:00:15,3.076,71.6,3713,24.69
2025-10-05 20:02:19,3.075,71.4,3732,24.69
2025-10-05 20:02:57,3.074,71.4,3737,24.72
2025-10-05 20:04:24,3.075,71.6,3752,24.74
2025-10-05 21:12:56,3.074,70.5,4201,24.87
2025-10-05 21:14:29,3.075,70.6,4221,24.9
2025-10-05 21:18:38,3.074,70.2,4264,24.89
2025-10-05 21:20:39,3.074,70.5,4290,24.9
2025-10-05 21:22:41,3.076,70.5,4308,24.9
2025-10-05 21:22:56,3.074,70.5,4308,24.89
